시군구,1000인 이상(C),100~199인(C),10~29인(C),1~4인(C),200~299인(C),300~499인(C),30~49인(C),500~999인(C),50~99인(C),5~9인(C),전규모(C)
강원특별자치도 강릉시,1,24,1033,5707,10,2,150,1,88,1968,8984
강원특별자치도 고성군,1,2,111,745,1,0,24,0,9,228,1121
강원특별자치도 동해시,0,12,354,2024,4,4,56,1,32,723,3210
강원특별자치도 삼척시,0,7,291,1701,2,3,52,1,33,515,2605
강원특별자치도 속초시,0,4,306,2397,4,1,47,0,27,719,3505
강원특별자치도 양구군,0,0,67,462,0,0,8,0,3,124,664
강원특별자치도 양양군,0,2,136,1087,1,2,26,1,9,248,1512
강원특별자치도 영월군,0,6,186,994,3,0,34,0,14,288,1525
강원특별자치도 원주시,5,47,1576,8583,13,11,299,6,173,2986,13699
강원특별자치도 인제군,0,1,140,647,0,0,14,0,6,249,1057
강원특별자치도 정선군,1,4,114,851,1,2,20,1,16,219,1229
강원특별자치도 철원군,0,6,146,844,1,0,16,0,14,283,1310
강원특별자치도 춘천시,1,47,1159,6303,8,6,223,6,131,2441,10325
강원특별자치도 태백시,1,4,178,1237,1,1,37,0,11,279,1749
강원특별자치도 평창군,0,5,169,1223,0,2,26,1,17,336,1779
강원특별자치도 홍천군,1,9,257,1561,0,2,55,0,22,447,2354
강원특별자치도 화천군,0,0,64,459,0,0,3,0,1,163,690
강원특별자치도 횡성군,0,16,190,1010,3,2,29,0,21,338,1609
경상남도 거제시,2,86,688,3832,11,3,133,0,130,1290,6175
경상남도 거창군,0,4,230,1209,1,0,47,0,31,422,1944
경상남도 고성군,0,8,215,1068,3,2,46,0,21,307,1670
경상남도 김해시,2,100,3014,14835,23,10,486,6,292,5638,24406
경상남도 남해군,0,2,142,1189,3,0,21,0,16,243,1616
경상남도 밀양시,0,11,423,2182,2,3,109,0,78,732,3540
경상남도 사천시,1,18,477,2835,9,3,117,1,66,880,4407
경상남도 산청군,0,3,140,841,0,0,29,0,19,205,1237
경상남도 양산시,5,69,1588,7675,22,15,351,3,197,2994,12919
경상남도 의령군,0,4,111,538,0,0,24,0,11,199,887
경상남도 진주시,3,52,1348,7923,18,5,211,3,149,2576,12288
경상남도 창녕군,1,7,341,1344,2,0,67,0,39,428,2229
경상남도 창원시,16,187,4096,22079,51,40,846,24,540,7344,35223
경상남도 통영시,0,12,423,2968,1,2,84,1,36,749,4276
경상남도 하동군,0,5,135,859,0,1,29,1,10,229,1269
경상남도 함안군,0,21,654,2326,4,2,98,0,57,949,4111
경상남도 함양군,0,2,121,716,2,0,21,0,9,229,1100
경상남도 합천군,0,5,159,728,0,0,38,0,14,270,1214
경상북도 경산시,4,54,1342,5549,10,10,235,3,115,2121,9443
경상북도 경주시,4,61,1275,5851,17,6,267,4,148,2058,9691
경상북도 고령군,0,6,281,1332,0,1,52,0,15,521,2208
경상북도 구미시,13,86,1768,8470,18,18,354,15,207,3122,14071
경상북도 군위군,0,3,99,580,0,0,15,0,11,161,869
경상북도 김천시,2,28,550,2734,5,7,88,3,73,845,4335
경상북도 문경시,1,9,244,1420,1,1,43,0,24,428,2171
경상북도 봉화군,0,1,129,607,1,0,16,1,10,213,978
경상북도 상주시,1,6,311,1922,5,1,63,1,32,582,2924
경상북도 성주군,0,7,259,1509,1,0,47,0,20,618,2461
경상북도 안동시,1,17,555,3320,5,3,101,2,71,1102,5177
경상북도 영덕군,0,1,94,883,0,0,25,0,12,240,1255
경상북도 영양군,0,1,45,259,1,0,8,0,5,86,405
경상북도 영주시,0,8,316,2519,5,1,65,2,43,646,3605
경상북도 영천시,1,25,535,2285,7,1,116,1,67,894,3932
경상북도 예천군,0,7,134,957,0,0,24,0,14,300,1436
경상북도 울릉군,0,0,34,421,0,0,1,0,0,89,545
경상북도 울진군,1,4,141,1169,1,0,23,0,19,311,1669
경상북도 의성군,0,2,159,972,0,1,36,0,14,264,1448
경상북도 청도군,0,3,137,952,0,0,24,0,16,233,1365
경상북도 청송군,1,1,89,486,0,0,14,0,6,144,741
경상북도 칠곡군,1,20,911,3872,8,1,131,1,69,1464,6478
경상북도 포항시,5,115,1868,10691,43,25,379,5,271,3549,16951
전라남도 강진군,0,6,116,840,0,0,20,0,6,224,1212
전라남도 고흥군,0,4,245,1314,1,0,39,0,21,421,2045
전라남도 곡성군,1,2,119,616,1,0,30,0,8,164,941
전라남도 광양시,3,60,782,3574,24,5,152,4,102,1261,5967
전라남도 구례군,0,1,86,550,0,0,13,0,15,141,806
전라남도 나주시,2,16,575,2616,11,3,87,6,60,950,4326
전라남도 담양군,0,7,251,1269,1,0,61,0,23,485,2097
전라남도 목포시,0,21,751,4892,8,4,122,2,77,1524,7401
전라남도 무안군,0,7,314,1927,2,1,67,0,27,605,2950
전라남도 보성군,0,9,131,847,0,1,12,0,12,234,1246
전라남도 순천시,0,44,1137,6129,16,6,183,2,115,2029,9661
전라남도 신안군,0,1,123,764,0,0,19,0,13,220,1140
전라남도 여수시,4,77,1244,6483,26,13,261,5,186,2054,10353
전라남도 영광군,1,9,156,1281,2,0,23,0,13,548,2033
전라남도 영암군,1,31,380,1758,2,0,73,0,60,589,2894
전라남도 완도군,0,3,150,1202,0,0,26,0,4,373,1758
전라남도 장성군,0,4,342,1143,2,1,50,0,41,472,2055
전라남도 장흥군,0,3,132,912,3,0,29,0,9,285,1373
전라남도 진도군,0,1,75,863,0,0,19,0,2,187,1147
전라남도 함평군,0,3,132,791,0,0,25,0,14,238,1203
전라남도 해남군,0,3,236,1513,1,3,32,0,20,500,2308
전라남도 화순군,1,12,281,1435,1,1,58,1,35,497,2322
전라북도 고창군,0,7,194,1242,2,0,29,1,12,342,1829
전라북도 군산시,2,43,1044,5899,13,5,192,5,145,2050,9398
전라북도 김제시,0,18,424,2209,5,2,91,1,52,650,3452
전라북도 남원시,0,1,258,1616,1,2,48,0,26,496,2448
전라북도 무주군,0,4,75,624,0,1,14,0,6,197,921
전라북도 부안군,0,3,198,1219,2,0,34,1,19,324,1800
전라북도 순창군,0,3,82,570,0,0,15,0,7,165,842
전라북도 완주군,1,30,467,2323,8,10,107,2,70,814,3832
전라북도 익산시,3,49,1124,6605,10,12,218,1,149,1973,10144
전라북도 임실군,1,4,105,641,4,0,20,1,4,220,1000
전라북도 장수군,0,0,82,429,0,0,19,0,6,138,674
전라북도 전주시,5,100,2499,16035,20,12,415,5,283,5120,24494
전라북도 정읍시,0,19,433,2533,7,2,80,0,40,816,3930
전라북도 진안군,0,2,91,596,0,0,12,0,6,137,844
제주특별자치도 서귀포시,1,24,635,4539,9,2,108,2,55,1575,6950
제주특별자치도 제주시,2,63,2270,13690,25,17,320,6,192,4871,21456
충청남도 계룡시,0,2,118,639,0,1,18,0,12,217,1007
충청남도 공주시,2,22,478,2613,4,3,109,1,65,869,4166
충청남도 금산군,1,6,328,1438,2,1,57,0,30,514,2377
충청남도 논산시,0,25,496,2913,3,2,94,1,61,909,4504
충청남도 당진시,2,57,849,3800,19,7,173,4,134,1406,6451
충청남도 보령시,0,17,361,2196,2,6,74,2,39,693,3390
충청남도 부여군,0,4,164,1065,1,1,36,0,18,344,1633
충청남도 서산시,5,37,672,3484,7,7,130,4,130,1122,5598
충청남도 서천군,2,12,249,1048,5,0,47,1,23,318,1705
충청남도 아산시,6,103,1574,8015,29,19,352,7,225,2740,13070
충청남도 예산군,0,22,365,1757,3,0,92,0,52,621,2912
충청남도 천안시,8,170,2862,15542,55,32,586,18,353,5814,25440
충청남도 청양군,0,4,86,853,1,1,21,0,7,162,1135
충청남도 태안군,1,6,186,1315,1,3,28,3,16,432,1991
충청남도 홍성군,0,9,422,2335,3,2,86,2,40,707,3606
충청북도 괴산군,0,3,172,787,1,2,40,0,23,234,1262
충청북도 단양군,0,5,154,672,2,2,27,0,19,198,1079
충청북도 보은군,0,2,120,708,0,0,29,3,22,186,1070
충청북도 영동군,0,8,150,917,4,0,33,0,10,293,1415
충청북도 옥천군,0,10,279,1201,0,2,50,0,21,438,2001
충청북도 음성군,0,52,967,3166,12,8,214,4,145,1351,5919
충청북도 제천시,0,21,629,3582,5,6,104,1,58,991,5397
충청북도 증평군,0,9,143,762,4,4,25,0,13,243,1203
충청북도 진천군,2,52,519,1860,16,9,122,3,83,757,3423
충청북도 청주시,11,187,3602,18428,46,27,585,26,443,6492,29847
충청북도 충주시,1,58,996,5559,15,7,201,5,127,1745,8714
광주광역시 광산구,2,91,1870,9707,31,13,334,6,190,3301,15545
광주광역시 남구,0,30,562,3519,10,7,119,6,79,1165,5497
광주광역시 동구,4,22,507,4524,6,6,103,2,57,1142,6373
광주광역시 북구,1,93,1638,9874,28,21,296,4,182,3196,15333
광주광역시 서구,6,63,1557,8203,23,9,247,6,178,2951,13243
대구광역시 남구,4,24,398,2900,5,2,65,2,54,835,4289
대구광역시 달서구,2,91,2428,11355,33,16,412,5,250,4003,18595
대구광역시 달성군,2,50,1182,5089,20,10,202,8,154,2068,8785
대구광역시 동구,3,60,1160,6902,15,9,185,6,131,2059,10530
대구광역시 북구,1,48,1705,11846,11,5,201,5,118,3836,17776
대구광역시 서구,1,33,814,4540,6,2,148,3,88,1467,7102
대구광역시 수성구,0,62,1407,7418,14,9,239,9,172,2593,11923
대구광역시 중구,2,34,825,5493,16,6,128,1,94,1554,8153
대전광역시 대덕구,5,57,789,4910,16,9,115,5,100,1609,7615
대전광역시 동구,2,29,654,4458,10,7,101,5,75,1491,6832
대전광역시 서구,4,65,1753,9582,21,14,304,8,201,3443,15395
대전광역시 유성구,9,94,1820,8986,28,25,304,23,219,3458,14966
대전광역시 중구,3,42,766,4661,10,10,162,5,115,1486,7260
부산광역시 강서구,4,56,1732,8335,16,9,298,5,177,2959,13591
부산광역시 금정구,4,48,811,4716,16,8,156,3,129,1714,7605
부산광역시 기장군,1,36,796,4126,12,3,145,2,93,1470,6684
부산광역시 남구,3,27,777,4193,9,8,122,10,95,1416,6660
부산광역시 동구,1,35,661,3590,20,7,165,5,138,980,5602
부산광역시 동래구,2,33,825,5393,12,9,145,5,119,1823,8366
부산광역시 부산진구,2,83,1443,9157,27,12,314,14,195,3075,14322
부산광역시 북구,0,25,547,3701,10,5,99,1,61,1178,5627
부산광역시 사상구,1,40,1603,8342,9,4,185,6,104,2915,13209
부산광역시 사하구,2,69,1172,5517,11,4,190,4,178,1757,8904
부산광역시 서구,3,17,310,2397,1,2,71,2,46,656,3505
부산광역시 수영구,0,29,505,3908,9,7,91,1,55,1165,5770
부산광역시 연제구,2,35,802,5076,12,4,170,3,104,1561,7769
부산광역시 영도구,2,12,421,2498,3,7,59,1,45,811,3859
부산광역시 중구,1,38,652,4275,12,7,114,1,93,1248,6441
부산광역시 해운대구,1,52,1624,8920,20,16,256,7,173,3312,14381
세종특별자치시,3,51,1257,7009,19,17,199,7,121,2644,11327
울산광역시 남구,5,97,1498,8597,27,20,335,9,191,2867,13646
울산광역시 동구,8,51,293,1806,2,3,74,2,152,625,3016
울산광역시 북구,2,37,703,3704,11,6,134,6,126,1369,6098
울산광역시 울주군,6,54,1191,4505,17,12,268,3,138,1879,8073
울산광역시 중구,0,19,418,3571,4,4,77,5,47,969,5114
